Date,Value
2012-01,227.842
2012-02,228.329
2012-03,228.807
2012-04,229.187
2012-05,228.713
2012-06,228.524
2012-07,228.59
2012-08,229.918
2012-09,231.015
2012-10,231.638
2012-11,231.249
2012-12,231.221
2013-01,231.679
2013-02,232.937
2013-03,232.282
2013-04,231.797
2013-05,231.893
2013-06,232.445
2013-07,232.9
2013-08,233.456
2013-09,233.544
2013-10,233.669
2013-11,234.1
2013-12,234.719
2014-01,235.288
2014-02,235.547
2014-03,236.028
2014-04,236.468
2014-05,236.918
2014-06,237.231
2014-07,237.498
2014-08,237.46
2014-09,237.477
2014-10,237.43
2014-11,236.983
2014-12,236.252
2015-01,234.747
2015-02,235.342
2015-03,235.976
2015-04,236.222
2015-05,237.001
2015-06,237.657
2015-07,238.034
2015-08,238.033
2015-09,237.498
2015-10,237.733
2015-11,238.017
2015-12,237.761
2016-01,237.652
2016-02,237.336
2016-03,238.08
2016-04,238.992
2016-05,239.557
2016-06,240.222
2016-07,240.101
2016-08,240.545
2016-09,241.176
2016-10,241.741
2016-11,242.026
2016-12,242.637
2017-01,243.618
2017-02,244.006
2017-03,243.892
2017-04,244.193
2017-05,244.004
2017-06,244.163
2017-07,244.243
2017-08,245.183
2017-09,246.435
2017-10,246.626
2017-11,247.284
2017-12,247.805
2018-01,248.859
2018-02,249.529
2018-03,249.577
2018-04,250.227
2018-05,250.792
2018-06,251.018
2018-07,251.214
2018-08,251.663
2018-09,252.182
2018-10,252.772
2018-11,252.594
2018-12,252.767
2019-01,252.561
2019-02,253.319
2019-03,254.277
2019-04,255.233
2019-05,255.296
2019-06,255.213
2019-07,255.802
2019-08,256.036
2019-09,256.43
2019-10,257.155
2019-11,257.879
2019-12,258.63
2020-01,258.906
2020-02,259.246
2020-03,258.15
2020-04,256.126
2020-05,255.848
2020-06,257.004
2020-07,258.408
2020-08,259.366
2020-09,259.951
2020-10,260.249
2020-11,260.895
2020-12,262.005
2021-01,262.518
2021-02,263.583
2021-03,264.91
2021-04,266.752
2021-05,268.452
2021-06,270.664
2021-07,271.994
2021-08,272.789
2021-09,273.887
2021-10,276.434
2021-11,278.799
2021-12,280.808
2022-01,282.39
2022-02,284.535
2022-03,287.553
2022-04,288.764
2022-05,291.359
2022-06,294.996
2022-07,294.977
2022-08,295.209
2022-09,296.341
2022-10,297.863
2022-11,298.648
2022-12,298.812
